year,year_month,patch,seedling,group,grouped,id2017,id2017_conf,dist_nedge,treat_det,root_sub_det,treat_simp,root_sub_simp,surface_waterdepth,total_height,green_height,subsurf_to_tip,green_nodes1,green_nodes2,tip_nodes,health_orig,health,vigor,vigor_all,accounted_for,present,newly_dead,dead,notes,notes2
2013,2013-Mar,Transition,PRDT01_01,PRDT01_01,0,1,High,4,NS,,Other,,,20.5,5,17.5,25,,,g,Green,1,1,1,1,0,0,2 leaders,
2014,2014-Mar,Transition,PRDT01_01,PRDT01_01,0,1,High,4,NS,,Other,,,,4,20.5,23,,,,,,,1,1,0,0,alt grn height 3.5,
2016,2016-Feb,Transition,PRDT01_01,PRDT01_01,0,1,High,4,NS,,Other,,,20,4,20.5,21,,,yg,Yellow-green,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT01_01,PRDT01_01,0,1,High,4,NS,,Other,,,21,,18.5,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_01,PRDT01_01,0,1,High,4,NS,,Other,,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_01,PRDT01_01,0,1,High,4,NS,,Other,,,20,,19.5,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT01_02B,PRDT01_02,1,3,High,8,NS,,Other,,,26,10.5,22.5,24,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT01_02B,PRDT01_02,1,3,High,8,NS,,Other,,,,7,24,26,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_02B,PRDT01_02,1,3,High,8,NS,,Other,,,24,2.5,24,22,,,y,Yellow,2,2,1,1,0,0,y,
2017,2017-Mar,Transition,PRDT01_02B,PRDT01_02,1,3,High,8,NS,,Other,,,25.5,,23.5,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_02B,PRDT01_02,1,3,High,8,NS,,Other,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_02B,PRDT01_02,1,3,High,8,NS,,Other,,,23.5,,22,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT01_02A,PRDT01_02,1,2,High,8,S,,SPMA,,,28,10,22.5,32,,,g,Green,1,1,1,1,0,0,~4 leaders; Martin (seedling nicknamed Walle),
2014,2014-Mar,Transition,PRDT01_02A,PRDT01_02,1,2,High,8,S,,SPMA,,,,7.5,24.5,30,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_02A,PRDT01_02,1,2,High,8,S,,SPMA,,,27,5,19.5,35,,,yg,Yellow-green,2,2,1,1,0,0,yg,
2017,2017-Mar,Transition,PRDT01_02A,PRDT01_02,1,2,High,8,S,,SPMA,,,29,,19.5,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT01_02A,PRDT01_02,1,2,High,8,S,,SPMA,,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT01_02A,PRDT01_02,1,2,High,8,S,,SPMA,,,27.5,,19,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT01_03,PRDT01_03,0,4,High,12,NS,,Other,,,28,17,24.5,40,,,g,Green,1,1,1,1,0,0,RE; Constanza,
2014,2014-Mar,Transition,PRDT01_03,PRDT01_03,0,4,High,12,NS,,Other,,,,7.5,27,32,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT01_03,PRDT01_03,0,4,High,12,NS,,Other,,,30.5,2.5,27,34,,,y,Yellow,2,2,1,1,0,0,y,
